PLATE,SOURCE,TIME
KJ1GCVO0021,webcam,2026-05-23 17:14:20
RJ1CCV0702,webcam,2026-05-23 17:14:21
RJ14CVO3021,webcam,2026-05-23 17:14:21
JI4CVO1021,webcam,2026-05-23 17:14:22
RJ1GCV0102,webcam,2026-05-23 17:14:22
RJ1GCV0002,webcam,2026-05-23 17:21:42
RJ12CV0002,webcam,2026-05-23 17:21:42
RJ12CV0002,webcam,2026-05-23 17:21:43
RJ12CV0002,webcam,2026-05-23 17:21:43
RJ1ELCV0002,webcam,2026-05-23 17:21:43
HB06F5977,webcam,2026-05-23 17:29:13
NB06F5977N1G,webcam,2026-05-23 17:29:14
HB06F59771ND,webcam,2026-05-23 17:29:14
HB06F59771ND,webcam,2026-05-23 17:29:15
HB06F59771ND,webcam,2026-05-23 17:29:15
HB06F59771ND,webcam,2026-05-23 17:29:16
NB06F5977,webcam,2026-05-23 17:46:38
HB06F5977,webcam,2026-05-23 17:46:38
HB06F5977,webcam,2026-05-23 17:46:39
HB06F5977,webcam,2026-05-23 17:46:40
22BH6517A,webcam,2026-05-23 17:52:37
22BH6517A,webcam,2026-05-23 17:52:38
22BH6517A,webcam,2026-05-23 17:52:38
22BH6517A7,webcam,2026-05-23 17:52:39
22BH6517A,webcam,2026-05-23 17:52:39
22BH6517A,webcam,2026-05-23 17:52:39
RJ2CY0002,webcam,2026-05-23 17:53:39
RJ11CV0002,webcam,2026-05-23 17:53:39
RJ11CV0002,webcam,2026-05-23 17:53:39
RJ11CY0002,webcam,2026-05-23 17:53:39
RJ11CV0002,webcam,2026-05-23 17:53:39
RJ11CV0002,webcam,2026-05-23 17:53:40
RJ11CV0002,webcam,2026-05-23 17:53:40
RJ11CV0002,webcam,2026-05-23 17:53:40
RJ11CV0002,webcam,2026-05-23 17:53:40
RJ11CV0002,webcam,2026-05-23 17:53:41
RJ11CVO002,webcam,2026-05-23 17:53:41
RJ11CV0002,webcam,2026-05-26 20:55:41
RJ11CV0002,webcam,2026-05-26 20:55:42
RJ11CV0002,webcam,2026-05-26 20:55:42
RJ11CY0002,webcam,2026-05-26 20:55:43
RJ1GCY0002,webcam,2026-05-26 20:55:44
RJ11CV0002,webcam,2026-05-26 20:55:45
RJ1GCV0002,webcam,2026-05-26 21:00:15
RJ12CV002,webcam,2026-05-26 21:00:16
RJ12CV01,webcam,2026-05-26 21:00:16
RJ11CYM002,webcam,2026-05-26 21:00:17
RJ1GCV00,webcam,2026-05-26 21:00:20
RJ12CV0002,webcam,2026-05-26 21:00:21
RJ1CV0002,webcam,2026-05-26 21:00:23
RJ11CV0002,webcam,2026-05-26 21:00:24
RJ11CV0002,webcam,2026-05-26 21:00:24
RJ11CVO002,webcam,2026-05-27 00:18:14
RJ1GCV0002,webcam,2026-05-27 00:18:14
RJ11CVO002,webcam,2026-05-27 00:18:15
RJ1GCV0002,webcam,2026-05-27 00:18:16
RJ11CV0002,webcam,2026-05-27 00:18:16
RJ11CVO002,webcam,2026-05-27 00:18:17
RJ11CVO002,webcam,2026-05-27 00:18:18
JI1V0002,webcam,2026-05-27 00:19:18
RJ11CV0002,webcam,2026-05-27 00:19:19
RJ11CV0002,webcam,2026-05-27 00:19:19
RJ11CY00,webcam,2026-05-27 00:19:20
RJ1GCY0002,webcam,2026-05-27 00:19:22
RJ11CV0002,webcam,2026-05-27 00:19:22
RJ11CV0002,webcam,2026-05-27 00:19:24
RJ1GCV00E,webcam,2026-05-27 00:19:25
RJ12CYO002,webcam,2026-05-27 00:19:30
JI1CV0002,webcam,2026-05-27 00:19:30
JI1CV0002,webcam,2026-05-27 00:19:31
RJ11CV0002,webcam,2026-05-27 00:19:32
RJ11CV0002,webcam,2026-05-27 00:19:33
RJT2CV0802,webcam,2026-05-27 00:22:42
RJT2CV06,webcam,2026-05-27 00:22:43
RJ11CV0002,webcam,2026-05-27 00:22:49
ILCV0002,webcam,2026-05-27 00:22:50
JI1CV0002,webcam,2026-05-27 00:22:51
RJ11CYO002,webcam,2026-05-27 00:22:51
RJ11CV0002,webcam,2026-05-27 00:22:53
LCV00025,webcam,2026-05-27 00:22:54
RJ11CVO002,webcam,2026-05-27 00:22:56
RJ11CV0002,webcam,2026-05-27 00:22:57
RJ12CV0002,webcam,2026-05-27 00:25:24
RJ12CV0002,webcam,2026-05-27 00:25:26
RJ14CV0002,webcam,2026-05-27 00:25:28
RJ12CV0002,webcam,2026-05-27 00:25:30
RJX4CV0002,webcam,2026-05-27 00:27:25
JIGCO002E,webcam,2026-05-27 00:27:26
RJ14CY0002,webcam,2026-05-27 00:27:26
JI4CV0002,webcam,2026-05-27 00:27:27
RJ14CV0002,webcam,2026-05-27 00:27:28
JI4CV0002,webcam,2026-05-27 00:27:28
RJ14CV0002,webcam,2026-05-27 00:27:29
RJ14CV0002,webcam,2026-05-27 00:27:29
JI4CV0002,webcam,2026-05-27 00:27:30
RJ14CYO002,webcam,2026-05-27 00:27:31
